date,variable,measurement,month,year
1961-05-31,evap,12.5,5,1961
1961-06-30,evap,10.758620689655173,6,1961
1961-07-31,evap,8.03225806451613,7,1961
1961-08-31,evap,7.580645161290323,8,1961
1961-09-30,evap,6.3,9,1961
1961-10-31,evap,6.645161290322581,10,1961
1961-11-30,evap,3.576923076923077,11,1961
1961-12-31,evap,2.4791666666666665,12,1961
1962-01-31,evap,,1,1962
1962-02-28,evap,4.703703703703703,2,1962
1962-03-31,evap,5.106451612903226,3,1962
1962-04-30,evap,8.513333333333334,4,1962
1962-05-31,evap,10.574193548387097,5,1962
1962-06-30,evap,10.526666666666667,6,1962
1962-07-31,evap,6.461290322580646,7,1962
1962-08-31,evap,7.851612903225806,8,1962
1962-09-30,evap,5.136666666666667,9,1962
1962-10-31,evap,5.806451612903226,10,1962
1962-11-30,evap,4.2733333333333325,11,1962
1962-12-31,evap,2.074193548387097,12,1962
1963-01-31,evap,2.767741935483871,1,1963
1963-02-28,evap,4.360714285714286,2,1963
1963-03-31,evap,7.006451612903225,3,1963
1963-04-30,evap,7.726666666666666,4,1963
1963-05-31,evap,10.506451612903225,5,1963
1963-06-30,evap,12.53,6,1963
1963-07-31,evap,7.429032258064516,7,1963
1963-08-31,evap,5.758064516129032,8,1963
1963-09-30,evap,5.723333333333333,9,1963
1963-10-31,evap,5.212903225806452,10,1963
1963-11-30,evap,3.56,11,1963
1963-12-31,evap,3.3419354838709676,12,1963
1964-01-31,evap,2.8129032258064517,1,1964
1964-02-29,evap,4.068965517241379,2,1964
1964-03-31,evap,4.693548387096774,3,1964
1964-04-30,evap,7.84,4,1964
1964-05-31,evap,9.925806451612903,5,1964
1964-06-30,evap,9.726666666666667,6,1964
1964-07-31,evap,7.048387096774194,7,1964
1964-08-31,evap,5.141935483870968,8,1964
1964-09-30,evap,4.823333333333333,9,1964
1964-10-31,evap,4.738709677419355,10,1964
1964-11-30,evap,3.8433333333333333,11,1964
1964-12-31,evap,2.916129032258065,12,1964
1965-01-31,evap,3.490322580645161,1,1965
1965-02-28,evap,3.882142857142857,2,1965
1965-03-31,evap,5.032258064516129,3,1965
1965-04-30,evap,7.533333333333333,4,1965
1965-05-31,evap,9.783870967741937,5,1965
1965-06-30,evap,10.826666666666666,6,1965
1965-07-31,evap,9.658064516129032,7,1965
1965-08-31,evap,6.025806451612904,8,1965
1965-09-30,evap,5.96,9,1965
1965-10-31,evap,6.703225806451614,10,1965
1965-11-30,evap,3.7266666666666666,11,1965
1965-12-31,evap,3.5928571428571425,12,1965
1966-01-31,evap,3.542307692307692,1,1966
1966-02-28,evap,3.1607142857142856,2,1966
1966-03-31,evap,6.1866666666666665,3,1966
1966-04-30,evap,7.263333333333334,4,1966
1966-05-31,evap,9.719354838709679,5,1966
1966-06-30,evap,9.576666666666666,6,1966
1966-07-31,evap,6.606451612903225,7,1966
1966-08-31,evap,4.790322580645161,8,1966
1966-09-30,evap,5.593333333333333,9,1966
1966-10-31,evap,5.267741935483872,10,1966
1966-11-30,evap,3.7266666666666666,11,1966
