year,precipSum,season
1969-01-01,0.0,winter
1974-01-01,91.0,winter
1975-01-01,133.0,winter
1976-01-01,86.0,winter
1977-01-01,274.0,winter
1978-01-01,172.0,winter
1980-01-01,150.79999999999998,winter
1981-01-01,95.79999999999998,winter
1982-01-01,258.59999999999997,winter
1983-01-01,0.0,winter
1984-01-01,269.0,winter
1985-01-01,136.5,winter
1986-01-01,0.0,winter
1987-01-01,57.0,winter
1988-01-01,90.0,winter
1989-01-01,0.0,winter
1991-01-01,212.0,winter
1992-01-01,330.0,winter
1993-01-01,25.0,winter
1994-01-01,300.0,winter
1995-01-01,14.5,winter
1996-01-01,2.3,winter
1997-01-01,0.0,winter
2000-01-01,0.0,winter
2002-01-01,268.0,winter
2003-01-01,75.7,winter
2004-01-01,216.5,winter
2005-01-01,5.0,winter
2006-01-01,84.9,winter
2007-01-01,239.0,winter
2008-01-01,0.0,winter
2010-01-01,0.0,winter
2011-01-01,85.2,winter
2012-01-01,89.3,winter
2013-01-01,79.4,winter
2014-01-01,139.0,winter
2015-01-01,76.0,winter
1969-01-01,168.0,summer
1974-01-01,360.0,summer
1975-01-01,360.0,summer
1976-01-01,398.0,summer
1977-01-01,269.0,summer
1978-01-01,223.0,summer
1980-01-01,0.0,summer
1981-01-01,407.9,summer
1982-01-01,237.7,summer
1983-01-01,0.0,summer
1984-01-01,379.9,summer
1985-01-01,550.6,summer
1986-01-01,68.4,summer
1987-01-01,0.0,summer
1988-01-01,252.0,summer
1989-01-01,38.0,summer
1991-01-01,188.0,summer
1992-01-01,357.0,summer
1993-01-01,286.0,summer
1994-01-01,221.0,summer
1995-01-01,152.1,summer
1996-01-01,201.5,summer
1997-01-01,0.0,summer
2000-01-01,303.4,summer
2002-01-01,15.9,summer
2003-01-01,153.70000000000002,summer
2004-01-01,152.5,summer
2005-01-01,0.0,summer
2006-01-01,61.0,summer
2007-01-01,744.0,summer
2008-01-01,0.0,summer
2010-01-01,336.7,summer
2011-01-01,75.4,summer
2012-01-01,273.0,summer
2013-01-01,125.5,summer
2014-01-01,547.0,summer
2015-01-01,264.5,summer
