year,precipSum,season
1931-01-01,186.0,winter
1932-01-01,147.0,winter
1933-01-01,67.0,winter
1934-01-01,145.0,winter
1935-01-01,133.0,winter
1936-01-01,118.0,winter
1937-01-01,90.0,winter
1938-01-01,95.0,winter
1939-01-01,109.0,winter
1940-01-01,123.0,winter
1941-01-01,106.0,winter
1942-01-01,30.0,winter
1943-01-01,117.0,winter
1944-01-01,160.0,winter
1945-01-01,92.0,winter
1946-01-01,50.0,winter
1947-01-01,35.0,winter
1949-01-01,130.0,winter
1950-01-01,122.0,winter
1951-01-01,125.0,winter
1952-01-01,131.0,winter
1953-01-01,0.0,winter
1954-01-01,82.0,winter
1955-01-01,18.0,winter
1956-01-01,59.0,winter
1957-01-01,97.0,winter
1958-01-01,10.0,winter
1959-01-01,185.0,winter
1960-01-01,0.0,winter
1962-01-01,65.0,winter
1963-01-01,0.0,winter
1964-01-01,29.0,winter
1965-01-01,151.0,winter
1966-01-01,11.0,winter
1967-01-01,0.0,winter
1968-01-01,18.0,winter
1969-01-01,47.0,winter
1970-01-01,10.0,winter
1971-01-01,27.0,winter
1972-01-01,145.0,winter
1973-01-01,28.0,winter
1974-01-01,49.0,winter
1975-01-01,82.0,winter
1976-01-01,80.0,winter
1977-01-01,136.0,winter
1978-01-01,328.0,winter
1979-01-01,71.0,winter
1980-01-01,49.0,winter
1981-01-01,67.0,winter
1982-01-01,265.0,winter
1983-01-01,95.0,winter
1984-01-01,167.0,winter
1985-01-01,66.0,winter
1986-01-01,130.0,winter
1987-01-01,108.0,winter
1988-01-01,63.0,winter
1989-01-01,46.0,winter
1990-01-01,0.0,winter
1991-01-01,165.0,winter
1992-01-01,0.0,winter
1994-01-01,11.0,winter
1995-01-01,19.0,winter
1997-01-01,136.0,winter
1998-01-01,43.0,winter
1999-01-01,0.0,winter
2000-01-01,48.0,winter
2001-01-01,52.0,winter
2002-01-01,101.0,winter
2003-01-01,109.0,winter
2004-01-01,128.0,winter
2005-01-01,8.0,winter
2006-01-01,83.0,winter
2007-01-01,54.0,winter
2008-01-01,67.0,winter
2009-01-01,152.0,winter
2010-01-01,10.0,winter
2011-01-01,74.0,winter
2012-01-01,110.0,winter
2013-01-01,58.0,winter
2014-01-01,99.0,winter
2015-01-01,50.0,winter
1931-01-01,250.0,summer
1932-01-01,73.0,summer
1933-01-01,299.0,summer
1934-01-01,320.0,summer
1935-01-01,191.0,summer
1936-01-01,134.0,summer
1937-01-01,168.0,summer
1938-01-01,159.0,summer
1939-01-01,198.0,summer
1940-01-01,173.0,summer
1941-01-01,133.0,summer
1942-01-01,174.0,summer
1943-01-01,251.0,summer
1944-01-01,217.0,summer
1945-01-01,104.0,summer
1946-01-01,160.0,summer
1947-01-01,0.0,summer
1949-01-01,282.0,summer
1950-01-01,245.0,summer
1951-01-01,174.0,summer
1952-01-01,188.0,summer
1953-01-01,0.0,summer
1954-01-01,224.0,summer
1955-01-01,285.0,summer
1956-01-01,154.0,summer
1957-01-01,318.0,summer
1958-01-01,271.0,summer
1959-01-01,384.0,summer
1960-01-01,0.0,summer
1962-01-01,158.0,summer
1963-01-01,85.0,summer
1964-01-01,231.0,summer
1965-01-01,279.0,summer
1966-01-01,316.0,summer
1967-01-01,250.0,summer
1968-01-01,123.0,summer
1969-01-01,207.0,summer
1970-01-01,207.0,summer
1971-01-01,7.0,summer
1972-01-01,232.0,summer
1973-01-01,235.0,summer
1974-01-01,281.0,summer
1975-01-01,225.0,summer
1976-01-01,265.0,summer
1977-01-01,246.0,summer
1978-01-01,105.0,summer
1979-01-01,108.0,summer
1980-01-01,79.0,summer
1981-01-01,178.0,summer
1982-01-01,198.0,summer
1983-01-01,251.0,summer
1984-01-01,309.0,summer
1985-01-01,164.0,summer
1986-01-01,316.0,summer
1987-01-01,267.0,summer
1988-01-01,339.0,summer
1989-01-01,202.0,summer
1990-01-01,226.0,summer
1991-01-01,129.0,summer
1992-01-01,108.0,summer
1994-01-01,207.0,summer
1995-01-01,38.0,summer
1997-01-01,113.0,summer
1998-01-01,97.0,summer
1999-01-01,287.0,summer
2000-01-01,297.0,summer
2001-01-01,162.0,summer
2002-01-01,141.0,summer
2003-01-01,155.0,summer
2004-01-01,182.0,summer
2005-01-01,210.0,summer
2006-01-01,287.0,summer
2007-01-01,158.0,summer
2008-01-01,277.0,summer
2009-01-01,186.0,summer
2010-01-01,318.0,summer
2011-01-01,194.0,summer
2012-01-01,239.0,summer
2013-01-01,392.0,summer
2014-01-01,277.0,summer
2015-01-01,284.0,summer
